id,review,sentiment
1,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
2,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
3,"Pelayanan ramah dan responsif, recommended seller",positif
4,"Tidak sesuai deskripsi, kualitas buruk",negatif
5,Sangat puas dengan kualitas dan pelayanannya,positif
6,"Pelayanan ramah dan responsif, recommended seller",positif
7,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
8,"Tidak sesuai deskripsi, kualitas buruk",negatif
9,Puas sekali dengan pelayanan dan kualitas barang,positif
10,Barang datang dalam kondisi rusak,negatif
11,Toko terpercaya dan pengiriman cepat,positif
12,Barang sampai dengan cepat dan kualitas bagus,positif
13,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
14,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
15,Pengemasan sangat rapi dan pengiriman cepat,positif
16,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
17,Sangat puas dengan kualitas dan pelayanannya,positif
18,"Barang asli dan harga terjangkau, sangat puas",positif
19,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
20,"Tidak sesuai deskripsi, kualitas buruk",negatif
21,Sangat puas dengan kualitas dan pelayanannya,positif
22,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
23,Produk datang telat dan tidak lengkap,negatif
24,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
25,"Barang rusak, tidak bisa dipakai",negatif
26,Pengemasan sangat rapi dan pengiriman cepat,positif
27,"Barang rusak, tidak bisa dipakai",negatif
28,"Barang rusak, tidak bisa dipakai",negatif
29,"Produk bagus, akan order lagi lain waktu",positif
30,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
31,"Barang asli dan harga terjangkau, sangat puas",positif
32,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
33,Barang bekas dikirimkan sebagai baru,negatif
34,Produk datang telat dan tidak lengkap,negatif
35,"Tidak sesuai deskripsi, kualitas buruk",negatif
36,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
37,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
38,Barang bekas dikirimkan sebagai baru,negatif
39,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
40,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
41,Barang sampai dengan cepat dan kualitas bagus,positif
42,Barang datang dalam kondisi rusak,negatif
43,Pengemasan sangat rapi dan pengiriman cepat,positif
44,Produk datang telat dan tidak lengkap,negatif
45,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
46,"Produk bagus, akan order lagi lain waktu",positif
47,Puas sekali dengan pelayanan dan kualitas barang,positif
48,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
49,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
50,Produk datang telat dan tidak lengkap,negatif
51,Toko terpercaya dan pengiriman cepat,positif
52,Pengemasan sangat rapi dan pengiriman cepat,positif
53,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
54,"Barang rusak, tidak bisa dipakai",negatif
55,"Barang rusak, tidak bisa dipakai",negatif
56,"Harga murah dan kualitas sebanding, sangat puas",positif
57,Barang datang dalam kondisi rusak,negatif
58,Barang datang dalam kondisi rusak,negatif
59,"Produk bagus, akan order lagi lain waktu",positif
60,"Tidak sesuai deskripsi, kualitas buruk",negatif
61,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
62,"Barang rusak, tidak bisa dipakai",negatif
63,"Tidak sesuai deskripsi, kualitas buruk",negatif
64,Barang bekas dikirimkan sebagai baru,negatif
65,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
66,"Produk bagus, akan order lagi lain waktu",positif
67,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
68,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
69,"Barang rusak, tidak bisa dipakai",negatif
70,Penjual tidak responsif saat komplain,negatif
71,"Tidak sesuai deskripsi, kualitas buruk",negatif
72,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
73,"Harga murah dan kualitas sebanding, sangat puas",positif
74,"Tidak sesuai deskripsi, kualitas buruk",negatif
75,Produk datang telat dan tidak lengkap,negatif
76,Barang sampai dengan cepat dan kualitas bagus,positif
77,"Barang asli dan harga terjangkau, sangat puas",positif
78,Penjual tidak responsif saat komplain,negatif
79,Pengemasan sangat rapi dan pengiriman cepat,positif
80,"Barang rusak, tidak bisa dipakai",negatif
81,"Produk bagus, akan order lagi lain waktu",positif
82,"Tidak sesuai deskripsi, kualitas buruk",negatif
83,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
84,"Tidak sesuai deskripsi, kualitas buruk",negatif
85,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
86,Barang datang dalam kondisi rusak,negatif
87,"Tidak sesuai deskripsi, kualitas buruk",negatif
88,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
89,Barang datang dalam kondisi rusak,negatif
90,Barang bekas dikirimkan sebagai baru,negatif
91,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
92,Pengemasan sangat rapi dan pengiriman cepat,positif
93,"Barang asli dan harga terjangkau, sangat puas",positif
94,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
95,Pengemasan sangat rapi dan pengiriman cepat,positif
96,Puas sekali dengan pelayanan dan kualitas barang,positif
97,"Pelayanan ramah dan responsif, recommended seller",positif
98,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
99,Pengemasan sangat rapi dan pengiriman cepat,positif
100,"Produk bagus, akan order lagi lain waktu",positif
101,"Harga murah dan kualitas sebanding, sangat puas",positif
102,Produk datang telat dan tidak lengkap,negatif
103,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
104,Barang datang dalam kondisi rusak,negatif
105,"Pelayanan ramah dan responsif, recommended seller",positif
106,"Tidak disarankan, barang cepat rusak setelah 3 hari",negatif
107,"Produk bagus, akan order lagi lain waktu",positif
108,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
109,Barang bekas dikirimkan sebagai baru,negatif
110,Sangat puas dengan kualitas dan pelayanannya,positif
111,"Barang rusak, tidak bisa dipakai",negatif
112,Pengemasan sangat rapi dan pengiriman cepat,positif
113,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
114,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
115,"Pelayanan ramah dan responsif, recommended seller",positif
116,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
117,Puas sekali dengan pelayanan dan kualitas barang,positif
118,"Produk tidak sesuai dengan gambar, sangat kecewa",negatif
119,"Ukuran tidak sesuai, terlalu kecil dari yang diharapkan",negatif
120,"Produk bagus, akan order lagi lain waktu",positif
121,Sangat puas dengan kualitas dan pelayanannya,positif
122,"Produk mengecewakan, bahan tipis dan tidak awet",negatif
123,Sangat puas dengan kualitas dan pelayanannya,positif
124,"Produk bagus, akan order lagi lain waktu",positif
125,"Sangat memuaskan, pengiriman lebih cepat dari estimasi",positif
126,"Kualitas produk jelek, tidak sesuai ekspektasi",negatif
127,"Sesuai deskripsi dan sangat membantu, terima kasih",positif
128,Barang sampai dengan cepat dan kualitas bagus,positif
129,"Tidak sesuai deskripsi, kualitas buruk",negatif
